#Source	"The Drug Repurposing Hub, Broad Institute"				
#URL	http://www.broadinstitute.org/repurposing				
#File_date	9/7/2018				
#Table_name	drug information				
#API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
#Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
#Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
#Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
#Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
BMS-927711	Phase 2	calcitonin antagonist	CALCA		
BMS-983970	Phase 1	notch signaling inhibitor			
BMS-986020	Phase 2	lysophosphatidic acid receptor antagonist	LPAR1		
BMY-14802	Phase 2	sigma receptor antagonist	HTR1A		
BMY-45778	Preclinical	IP1 prostacyclin receptor agonist	PTGIR		
BMY-7378	Preclinical	adrenergic receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|HTR1A		
BNC105	Phase 2	tubulin polymerization inhibitor			
BNTX	Preclinical	opioid receptor antagonist	OPRD1|OPRK1|OPRM1		
boceprevir	Launched	HCV inhibitor	CMA1|CTSA|CTSF|CTSK|CTSL|CTSS	infectious disease	hepatitis C
bonaphthone	Phase 3				
bopindolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3|HTR1A|HTR1B	cardiology	hypertension|coronary artery disease (CAD)
bornyl-acetate	Preclinical				
boronophenylalanine	Phase 2				
bortezomib	Launched	NFkB pathway inhibitor|proteasome inhibitor	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA	hematologic malignancy	multiple myeloma|mantle cell lymphoma (MCL)
bosentan	Launched	endothelin receptor antagonist	EDNRA|EDNRB	pulmonary	pulmonary arterial hypertension (PAH)
bosutinib	Launched	Abl kinase inhibitor|Bcr-Abl kinase inhibitor|src inhibitor	ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK	hematologic malignancy	chronic myeloid leukemia (CML)
BP-554	Preclinical	serotonin receptor agonist	HTR1A		
BP-897	Phase 2	dopamine receptor agonist	ADRA1A|ADRA1D|ADRA2A|DRD1|DRD2|DRD3|DRD4|HTR1A|HTR2B		
BQ-123	Phase 2	endothelin receptor antagonist	EDNRA		
BQ-788	Phase 1	endothelin receptor antagonist	EDNRB		
BQU57	Preclinical	Ras GTPase inhibitor	RALA|RALB		
BRD-7389	Preclinical	ribosomal protein inhibitor	RPS6KA1|RPS6KA2|RPS6KA3		
BRD-9876	Preclinical	kinesin inhibitor	KIF11		
BRD4770	Preclinical	histone lysine methyltransferase inhibitor	EHMT2		
brefeldin-a	Preclinical	protein synthesis inhibitor	ARF1|CYTH2		
bremelanotide	Phase 3	melanocortin receptor agonist	MC1R|MC2R|MC3R|MC4R|MC5R		
brequinar	Phase 2	dihydroorotate dehydrogenase inhibitor	DHODH		
bretazenil	Phase 2	GABA benzodiazepine site receptor partial agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6		
bretylium	Launched	norepinephrine inhibitor	ATP1A1	cardiology	ventricular arrhythmias|ventricular fibrillation (VF)|ventricular tachycardia (VT)
brexpiprazole	Launched	dopamine receptor partial agonist	DRD2	neurology/psychiatry	depression|schizophrenia
briciclib	Phase 1	cyclin D inhibitor	CCND1		
brigatinib	Launched	ALK tyrosine kinase receptor inhibitor|EGFR inhibitor	ALK|EGFR	oncology	non-small cell lung cancer (NSCLC)
brilliant-green	Launched				
brimonidine	Launched	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
brinzolamide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA5A|CA7	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
brivanib	Phase 3	FGFR inhibitor|VEGFR inhibitor	CYP3A4|FGFR1|FLT1|KCNH2|KDR		
brivanib-alaninate	Phase 3	FGFR inhibitor|VEGFR inhibitor	FGFR3		
brivaracetam	Launched	voltage-gated sodium channel blocker	SV2A	neurology/psychiatry	seizures
brivudine	Launched	DNA directed DNA polymerase inhibitor		infectious disease	shingles
BRL-15572	Preclinical	serotonin receptor antagonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6		
BRL-26314	Phase 1	cholesterol inhibitor	LPL		
BRL-37344	Phase 2	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3		
BRL-44408	Preclinical	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C		
BRL-50481	Preclinical	phosphodiesterase inhibitor	PDE7A|PDE7B		
BRL-52537	Preclinical	opioid receptor agonist	OPRK1		
BRL-54443	Preclinical	serotonin receptor agonist	HTR1E|HTR1F		
brolitene	Launched	muscle relaxant	RYR1		
bromantan	Launched	dopamine reuptake inhibitor|serotonin reuptake inhibitor		neurology/psychiatry	neurasthenia
bromebric-acid	Preclinical	purine antagonist|DNA synthesis inhibitor			
bromfenac	Withdrawn	cyclooxygenase inhibitor	PTGS1|PTGS2		
bromhexine	Launched	mucolytic agent		pulmonary	chest congestion
bromindione	Phase 2	anticoagulant			
bromocriptine	Launched	dopamine receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7	endocrinology|neurology/psychiatry	hyperprolactinemia|Parkinson's Disease|acromegaly
bromopride	Launched	dopamine receptor antagonist	DRD2	gastroenterology	nausea|vomiting|gastroesophageal reflux disease (GERD)
bromosporine	Preclinical	bromodomain inhibitor			
bromperidol	Launched	dopamine receptor antagonist	DRD2	neurology/psychiatry	schizophrenia
brompheniramine	Launched	histamine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1	allergy|otolaryngology	allergic rhinitis|common cold
bronopol	Launched				
bropirimine	Phase 3	interferon inducer			
broxaldine	Preclinical				
broxaterol	Phase 3	adrenergic receptor agonist	ADRB2		
broxuridine	Phase 2	antimetabolite			
broxyquinoline	Phase 1	antiprotozoal agent			
bruceantin	Phase 2	protein synthesis inhibitor			
brucine	Preclinical	glycine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5		
bryostatin-1	Phase 2	protein kinase C inhibitor	PRKCE		
BS-181	Preclinical	CDK inhibitor	CDK7		
BTB06584	Preclinical	ATPase inhibitor	ATP5F1		
BTB1	Preclinical	mitotic kinesin inhibitor	KIF18A		
BTS	Preclinical				
BTS-54505	Withdrawn	dopamine reuptake inhibitor	SLC6A2|SLC6A3|SLC6A4		
BTS-72664	Phase 1	GABA receptor antagonist	GABBR1		
BTT-3033	Preclinical	integrin inhibitor	ITGA2|ITGB1		
BTZ043-racemate	Preclinical	DPRE1 inhibitor			
BU-224	Preclinical	imidazoline receptor ligand	MAOA|MAOB		
BU-239	Preclinical	imidazoline receptor ligand|imidazoline receptor agonist			
bucetin	Withdrawn	analgesic agent			
bucillamine	Launched	immunosuppressant		rheumatology	rheumatoid arthritis
bucladesine	Launched	adenosine receptor agonist|cAMP stimulant	PRKACA	dermatology	skin ulcer
buclizine	Launched	histamine receptor antagonist	CHRM1|HRH1	neurology/psychiatry	migraine headache
budesonide	Launched	glucocorticoid receptor agonist	NR3C1	gastroenterology	Crohn's disease
budipine	Launched	glutamate receptor antagonist	GRIN1	neurology/psychiatry	Parkinson's Disease
bufexamac	Withdrawn	cyclooxygenase inhibitor	HDAC10|HDAC6		
buflomedil	Launched	adrenergic receptor antagonist|calcium channel blocker	ADRA1A	cardiology	peripheral artery disease (PAD)
bumetanide	Launched	solute carrier family member inhibitor	CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5	cardiology	edema|congestive heart failure
bunazosin	Launched	adrenergic receptor antagonist	ADRA1A	ophthalmology	glaucoma|intraocular pressure
buparlisib	Phase 3	PI3K inhibitor	PIK3CA|PIK3CG		
buparvaquone	Launched	antiprotozoal agent			
buphenine	Launched	adrenergic receptor agonist	ADRB2	rheumatology	Raynaud's disease
bupicomide	Phase 1	adrenergic receptor antagonist	ADRB1		
bupivacaine	Launched	sodium channel blocker	KCNA5|PTGER1|SCN10A|SCN4A	neurology/psychiatry	peripheral nerve block|caudal epidural block|lumbar epidural block
bupranolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3	cardiology|ophthalmology	hypertension|glaucoma
bupropion	Launched	dopamine uptake inhibitor	CHRNA3|SLC6A2|SLC6A3	neurology/psychiatry	depression
buramate	Preclinical	antiepileptic			
buspirone	Launched	serotonin receptor agonist	DRD2|HTR1A	neurology/psychiatry	generalized anxiety disorder (GAD)
busulfan	Launched	DNA inhibitor		hematologic malignancy	chronic myeloid leukemia (CML)
butabindide	Preclinical	tripeptidyl peptidase inhibitor	TPP2		
butacaine	Launched	local anesthetic		neurology/psychiatry	local anesthetic
butaclamol	Phase 2	dopamine receptor antagonist	DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A		
butalbital	Launched	GABA receptor antagonist	CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2	neurology/psychiatry	headache|muscle relaxant
butamben	Withdrawn	sodium channel blocker			
butein	Preclinical	EGFR inhibitor|src inhibitor	ACE		
butenafine	Launched	fungal squalene epoxidase inhibitor	SQLE	infectious disease	tinea pedis|tinea cruris|tinea corporis
buthionine-sulfoximine	Phase 1	glutathione transferase inhibitor	GCLM		
butibufen	Withdrawn	cyclooxygenase inhibitor			
butoconazole	Launched	bacterial cell wall synthesis inhibitor		infectious disease	vulvovaginal candidiasis
butofilolol	Phase 2	adrenergic receptor antagonist			
butorphanol-(+)-tartrate	Launched	opioid receptor agonist|opioid receptor antagonist	OPRD1|OPRK1|OPRM1	neurology/psychiatry|gastroenterology	muscle pain|headache|abdominal pain
butyl-paraben	Preclinical	DNA synthesis inhibitor			
butylated-hydroxyanisole	Preclinical	antioxidant			
butylated-hydroxytoluene	Phase 1	carbonic anhydrase inhibitor	CA2		
butylphthalide	Launched	potassium channel antagonist	KCNK2	neurology/psychiatry	stroke
butylscopolamine-bromide	Launched	cholinergic receptor antagonist		gastroenterology	abdominal pain
BU226	Preclinical	imidazoline receptor ligand			
BVD-523	Phase 1/Phase 2	MAP kinase inhibitor			
BVT-2733	Preclinical	11-beta hydroxysteroid dehydrogenase inhibitor	HSD17B1		
BVT-948	Preclinical	tyrosine phosphatase inhibitor	PTPN1|PTPN11|PTPN2		
BW-A4C	Phase 1	lipoxygenase inhibitor	ALOX5		
BW-B70C	Preclinical	lipoxygenase inhibitor	ALOX5		
BW-180C	Phase 2	opioid receptor agonist	OPRD1|OPRM1		
BW-373U86	Preclinical	opioid receptor agonist	OPRD1		
BW-616U	Preclinical	monoamine oxidase inhibitor	MAOA		
BW-723C86	Preclinical	serotonin receptor agonist	HTR2A|HTR2B|HTR2C		
BX-795	Preclinical	IKK inhibitor	CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1		
BX-912	Preclinical	pyruvate dehydrogenase kinase inhibitor	CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1		
BYK-204165	Preclinical	PARP inhibitor	PARP1		
C-021	Preclinical	CC chemokine receptor antagonist	CCR4		
C-1	Preclinical	protein kinase inhibitor	PRKCA		
C-751	Preclinical				
cabagin	Launched			gastroenterology	dyspepsia
cabaletta	Phase 2	pharmacological chaperone			
cabazitaxel	Launched	microtubule inhibitor	TUBA4A|TUBB|TUBB1	oncology	prostate cancer
cabergoline	Launched	dopamine receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7	endocrinology	hyperprolactinemia
cabotegravir	Phase 2/Phase 3	HIV integrase inhibitor			
cabozantinib	Launched	RET tyrosine kinase inhibitor|VEGFR inhibitor	KDR|MET	oncology	medullary thyroid cancer (MTC)
CaCCinh-A01	Preclinical	calcium-activated chloride channel inhibitor	CLCA1		
cadralazine	Launched	adrenergic receptor antagonist		cardiology	hypertension
cafestol	Launched	pregnane X receptor agonist			
caffeic-acid	Preclinical	HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor	ALOX5|MIF		
caffeic-acid-phenethyl-ester	Preclinical	HIV integrase inhibitor	RELA		
caffeine	Launched	adenosine receptor antagonist|phosphodiesterase inhibitor	ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3	neurology/psychiatry	fatigue|drowsiness|fatigue|drowsiness
calcifediol	Launched	vitamin D receptor agonist	VDR		
calcipotriol	Launched	vitamin D receptor agonist	VDR	dermatology	psoriasis
calcitriol	Launched	vitamin D receptor agonist	VDR	endocrinology|orthopedics	hypocalcemia|hypoparathyroidism|osteoporosis
calcium-gluceptate	Launched				
calcium-levofolinate	Launched				
Calhex-231	Preclinical	calcium sensing receptor negative allosteric modulator	CASR		
calpeptin	Preclinical	calpain inhibitor			
camicinal	Phase 2	motilin receptor agonist	MLNR		
CaMKII-IN-1	Preclinical	calcium/calmodulin dependent protein kinase inhibitor	AKT1|CAMK2A|CAMK4|MYLK		
camostat-mesilate	Launched	protease inhibitor	PRSS1	gastroenterology	pancreatitis
camphor-(+)	Phase 2		TRPV1		
camphor-(1r)	Phase 1	TRPV activator			
camptothecin	Phase 3	topoisomerase inhibitor	TOP1		
camylofine-chlorhydrate	Launched			gastroenterology	abdominal pain
canagliflozin	Launched	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2	endocrinology	diabetes mellitus
candesartan	Launched	angiotensin receptor antagonist	AGTR1	cardiology	hypertension|congestive heart failure
candesartan-cilextil	Launched	angiotensin receptor antagonist	AGTR1|AGTR2	cardiology	hypertension|congestive heart failure
candicidin	Launched	fungal ergosterol inhibitor		infectious disease	vulvovaginal candidiasis
canertinib	Phase 3	EGFR inhibitor	AKT1|EGFR|ERBB2|ERBB4		
canrenone	Withdrawn	mineralocorticoid receptor antagonist	NR3C2		
cantharidin	Launched	protein phosphatase inhibitor		dermatology	blisters
capadenoson	Phase 2	adenosine receptor agonist	ADORA1		
capecitabine	Launched	DNA synthesis inhibitor|thymidylate synthase inhibitor	TYMS	oncology	breast cancer|colorectal cancer
capobenic-acid	Preclinical				
capreomycin	Launched	protein synthesis inhibitor		infectious disease	tuberculosis
caprylic-acid	Launched				
capsaicin	Launched	TRPV agonist	CFTR|TRPV1	neurology/psychiatry|rheumatology	muscle pain|rheumatoid arthritis
capsazepine	Preclinical	TRPV agonist	TRPV1|TRPV4		
captamine	Preclinical				
captan	Phase 1				
captopril	Launched	angiotensin converting enzyme inhibitor	ACE|LTA4H|MMP2|MMP9	cardiology|endocrinology|nephrology	hypertension|congestive heart failure|myocardial infarction|diabetes mellitus|diabetic nephropathy
caracemide	Phase 2	ribonucleotide reductase inhibitor	RRM1		
caramiphen	Launched	cholinergic receptor antagonist	CHRM1|CHRM2	neurology/psychiatry	Parkinson's Disease
carazolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3	cardiology	angina pectoris|cardiac arrythmia|hypertension|myocardial infarction
carbachol	Launched	cholinergic receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2	ophthalmology	intraocular pressure
carbadox	Launched	other antibiotic		infectious disease|gastroenterology	dysentry|enteritis
carbamazepine	Launched	carboxamide antiepileptic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	seizures
carbaril	Launched	acetylcholinesterase inhibitor			
carbarsone	Launched	antiprotozoal agent		infectious disease	amebiasis
carbazochrome	Launched			hematology	hemorrhage
carbendazim	Launched	microtubule inhibitor|tubulin polymerization inhibitor	TP53|TUBB	infectious disease	fungicide
carbenicillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
carbenoxolone	Launched	11-beta hydroxysteroid dehydrogenase inhibitor	GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3	gastroenterology|dental	peptic ulcer disease (PUD)|mouth inflammation
carbetapentane	Launched	acetylcholine receptor antagonist	CHRM2	otolaryngology|pulmonary	common cold|nasal congestion|bronchitis
carbetocin	Launched	oxytocin receptor agonist	OXTR	hematology	hemorrhage
carbidopa	Launched	aromatic L-amino acid decarboxylase inhibitor	DDC	neurology/psychiatry	Parkinson's Disease
carbimazole	Launched	antithyroid agent	TPO	endocrinology	hyperthyroidism
carbinoxamine	Launched	histamine receptor antagonist	HRH1	allergy|ophthalmology|otolaryngology|dermatology	allergic rhinitis|conjunctivitis|vasomotor rhinitis|dermatographism
carboplatin	Launched	DNA alkylating agent|DNA inhibitor		oncology	ovarian cancer
carboxyamidotriazole	Phase 3	calcium channel blocker	CXCL8		
carboxylosartan	Phase 1	angiotensin antagonist	AGTR1		
carboxypyridine-disulfide	Phase 2				
cardiogenol-c	Preclinical	cardiomyogenesis inducer			
cardionogen-1	Preclinical	WNT signaling inhibitor	CTNNB1		
carebastine	Phase 1	histamine receptor antagonist	HRH1		
carfilzomib	Launched	proteasome inhibitor	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9	hematologic malignancy	multiple myeloma
carglumic-acid	Launched	carbamoyl phosphate synthase activator	CPS1	metabolism	hyperammonemia
caricotamide	Phase 2	NADPH quinone oxidoreductase inhibitor	NQO2		
cariporide	Phase 3	sodium/hydrogen exchanger inhibitor	SLC9A1		
cariprazine	Launched	dopamine receptor antagonist	DRD2|DRD3	neurology/psychiatry	schizophrenia
carisoprodol	Launched	acetylcholine receptor antagonist	CYP2C19	neurology/psychiatry	muscle relaxant
carmofur	Launched	thymidylate synthase inhibitor	TYMS	oncology	breast cancer|colorectal cancer
carmoterol	Phase 2	adrenergic receptor agonist	ADRB2		
carmoxirole	Phase 2	dopamine receptor agonist	DRD2		
carmustine	Launched	DNA alkylating agent|DNA inhibitor	GSR	hematologic malignancy|oncology	non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|multiple myeloma|glioblastoma|brainstem glioma|medulloblastoma|astrocytoma|ependymoma
carnitine-(D/L)	Phase 3				
carnosine	Phase 2	antiglycating agent			
caroverine	Launched	glutamate receptor antagonist|calcium channel blocker		neurology/psychiatry	tinnitus
caroxazone	Withdrawn	monoamine oxidase inhibitor	MAOA|MAOB		
carprofen	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	rheumatology	osteoarthritis
carsalam	Preclinical	analgesic agent			
carteolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
carumonam	Launched	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections|gram-negative bacterial infections
carvedilol	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|GJA1|HIF1A|KCNH2|NDUFC2|NPPB|SELE|VCAM1|VEGFA	cardiology	myocardial infarction|hypertension
carzenide	Preclinical		CA1|CA12|CA14|CA2|CA6|CA9		
casanthranol-variant	Launched				
casin	Preclinical	GTPase inhibitor	CDC42		
caspofungin	Launched	"fungal 1,3-beta-D-glucan synthase inhibitor|bacterial cell wall synthesis inhibitor"		infectious disease	candidemia|esophageal candidiasis|aspergillosis|fungal infection
caspofungin-acetate	Launched	"fungal 1,3-beta-D-glucan synthase inhibitor"		infectious disease	candidemia|esophageal candidiasis|aspergillosis|peritonitis
castanospermine	Phase 2	glucosidase inhibitor	GAA|GBA		
catharanthine	Preclinical	tubulin polymerization inhibitor			
cathepsin-inhibitor-1	Preclinical	cathepsin inhibitor	CTSB|CTSL|CTSV		
CAY10505	Preclinical	PI3K inhibitor	PIK3CG		
CB-03-01	Phase 3	androgen receptor antagonist	AR		
CB-10-277	Phase 1	DNA synthesis inhibitor			
CB-5083	Phase 1	valosin-containing protein inhibitor	VCP		
CB-839	Phase 1/Phase 2	glutaminase inhibitor	GLS		
CBiPES	Preclinical	glutamate receptor positive allosteric modulator	GRM2		
"CBS,-N-Cyclohexyl-2-benzothiazolesulfenamide"	Preclinical				
CBS-1114	Phase 1	lipoxygenase inhibitor	ALOX5		
CC-115	Phase 1	mTOR inhibitor|DNA protein kinase inhibitor	MTOR		
CC-223	Phase 1/Phase 2	mTOR inhibitor	MTOR		
CC-401	Phase 1	JNK inhibitor	MAPK8		
CC-930	Phase 2	JNK inhibitor			
CCG-1423	Preclinical	apoptosis stimulant	RHOC|SRF		
CCG-50014	Preclinical	G protein signaling inhibitor	RGS4|RGS8		
CCG-63802	Preclinical	G protein signaling inhibitor	RGS4		
CCG-63808	Preclinical	G protein signaling inhibitor	RGS4		
CCMI	Preclinical	acetylcholine receptor allosteric modulator	CHRNA7		
CCMQ	Preclinical	homoquinolinic acid binding inhibitor			
CCT-031374	Preclinical	WNT signaling inhibitor	CTNNB1		
CCT018159	Preclinical	HSP inhibitor	HSP90AA1|HSP90AB1		
CCT128930	Preclinical	AKT inhibitor	PKIA|PRKACA		
CCT129202	Preclinical	Aurora kinase inhibitor	AURKA|AURKB|AURKC		
CCT137690	Preclinical	Aurora kinase inhibitor	AURKA|AURKB|AURKC		
CC4	Preclinical	nicotinic receptor agonist	CHRNB2		
CD-1530	Preclinical	retinoid receptor agonist	RARG		
CD-437	Preclinical	retinoid receptor agonist	RARG		
CDBA	Phase 3				
CDK1-5-inhibitor	Preclinical	CDK inhibitor|glycogen synthase kinase inhibitor	CDK1|CDK5|GSK3B		
CDK9-IN-6	Preclinical	CDK inhibitor	CDK9		
CDPPB	Preclinical	glutamate receptor positive allosteric modulator	GRM5		
cebranopadol	Phase 3	opioid receptor agonist	OPRL1|OPRM1		
cediranib	Phase 3	KIT inhibitor|VEGFR inhibitor	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB		
cedrol	Phase 2				
cedrol-(+)	Phase 2	sedative			
cefaclor	Launched	bacterial cell wall synthesis inhibitor		infectious disease|otolaryngology	pneumonia|skin infections|urinary tract infections|respiratory tract infections|tonsillitis|pharyngitis
cefadroxil	Launched	bacterial cell wall synthesis inhibitor	SLC15A1|SLC15A2|SLC22A6|SLC22A8	infectious disease|otolaryngology	urinary tract infections|skin infections|tonsillitis|pharyngitis
cefalonium	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
cefamandole	Launched	bacterial cell wall synthesis inhibitor		infectious disease	skin infections|urinary tract infections|respiratory tract infections
cefamandole-nafate	Launched	bacterial cell wall synthesis inhibitor		infectious disease	skin infections|urinary tract infections|respiratory tract infections
cefathiamidine	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
cefazolin	Launched	bacterial cell wall synthesis inhibitor	PON1	infectious disease	urinary tract infections|skin infections|bacterial septicemia|endocarditis|surgical prophylaxis|bone and joint infections
cefcapene-pivoxil	Launched	bacterial cell wall synthesis inhibitor		infectious disease	skin infections|pneumonia|urinary tract infections
cefdinir	Launched	bacterial cell wall synthesis inhibitor	MPO	infectious disease|otolaryngology|pulmonary	pneumonia|tonsillitis|pharyngitis|bronchitis|skin infections|otitis|sinusitis
cefditoren-pivoxil	Launched	bacterial cell wall synthesis inhibitor		infectious disease|pulmonary|otolaryngology	pneumonia|bronchitis|skin infections|tonsillitis|pharyngitis
cefepime	Launched	bacterial cell wall synthesis inhibitor		infectious disease	pneumonia|urinary tract infections|skin infections|intra-abdominal infections
cefetamet	Launched	bacterial cell wall synthesis inhibitor		infectious disease|otolaryngology|pulmonary	ear infections|pneumonia|otitis|sinusitis|bronchitis|urinary tract infections
cefetamet-pivoxil	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
cefixime	Launched	bacterial cell wall synthesis inhibitor		infectious disease|otolaryngology|pulmonary	urinary tract infections|otitis|pharyngitis|tonsillitis|gonorrhea|bronchitis
cefmenoxime	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
cefmetazole	Launched	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections|skin infections
cefminox	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
cefodizime	Launched	bacterial cell wall synthesis inhibitor		infectious disease	respiratory tract infections|skin infections|gonorrhea
cefonicid	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
cefoperazone	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
ceforanide	Launched	penicillin binding protein inhibitor		infectious disease	gram-negative bacterial infections
cefoselis	Launched	bacterial cell wall synthesis inhibitor			
cefotaxime	Launched	bacterial cell wall synthesis inhibitor		infectious disease	respiratory tract infections|bone and joint infections|pelvic inflammatory disease|intra-abdominal infections|skin infections|bone and joint infections|meningitis|urinary tract infections|bacterial septicemia|gynecologic infections
cefotetan	Launched	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections|respiratory tract infections|skin infections|gynecologic infections|chlamydia|intra-abdominal infections|bone and joint infections|surgical prophylaxis
cefotiam	Launched	bacterial cell wall synthesis inhibitor		infectious disease	bacterial septicemia|bone and joint infections|respiratory tract infections|skin infections|urinary tract infections
cefotiam-cilexetil	Launched	bacterial cell wall synthesis inhibitor			
cefoxitin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	respiratory tract infections|urinary tract infections|intra-abdominal infections|gynecologic infections|bacterial septicemia|bone and joint infections|skin infections
cefozopran	Launched	bacterial cell wall synthesis inhibitor			
cefpiramide	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
cefpirome	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
cefpodoxime	Launched	bacterial cell wall synthesis inhibitor		otolaryngology|infectious disease|pulmonary	pharyngitis|pneumonia|bronchitis|gonorrhea|skin infections|urinary tract infections|sinusitis|tonsillitis
cefprozil	Launched	bacterial cell wall synthesis inhibitor		otolaryngology|infectious disease|pulmonary	pharyngitis|tonsillitis|otitis|sinusitis|respiratory tract infections|skin infections|bronchitis
