"Majority protein IDs"	"Protein names"	"Gene names"	"Intensity q2_tcell_notact_004"	"Intensity q2_tcell_notact_007"	"Intensity q2_tcell_notact_008"	"Intensity q2_tcell_notact_009"	"Intensity q2_tcell_notact_010"	"Intensity q2_tcell_notact_011"	"Intensity q2_tcell_notact_014"	"Intensity q3_tcell_act12h_018"	"Intensity q3_tcell_act12h_019"	"Intensity q3_tcell_act12h_020"	"Intensity q3_tcell_act24h_023"	"Intensity q3_tcell_act48h_026"	"Intensity q3_tcell_act48h_027"	"Intensity q3_tcell_act72h_028"	"Intensity q3_tcell_act72h_029"	"Intensity q3_tcell_act72h_030"	"Intensity q3_tcell_act96h_032"	"Intensity q3_tcell_act96h_034"	Reverse	"Potential contaminant"
Q96P50;Q96P50-1;Q96P50-4	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3"	ACAP3	24.667	23.5312	26.3268	22.3529	22.8997	22.5592	21.3973	NA	NA	21.9472	NA	NA	NA	NA	NA	NA	NA	NA		
Q99490-2;J3KNM6;Q99490;F8VVT9;H0YHB1	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2"	AGAP2	27.4242	27.6204	27.9633	27.8059	28.2752	27.929	26.5698	26.388	26.5813	26.3072	25.8218	25.915	25.57	25.6058	25.4579	26.3059	26.4638	26.6181		
"Q96P47;Q96P47-2;Q96P47-4;B3KNZ8;Q96P47-3;E9PAL8;H0Y873;C9J975;H7C4F1;C9J8Z2;H7C5G0;H7C4U6;Q9UPIntenstiy q3-3"	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3"	AGAP3	NA	NA	NA	22.7805	NA	NA	22.4976	NA	NA	NA	NA	NA	NA	21.0659	21.2118	21.8194	22.3444	NA		
Q96P48-3;Q96P48;E7EU13;Q96P48-2;Q96P48-4;Q96P48-1;Q96P48-7;Q96P48-5;F8WBT0;F5GWN4;F5GWQ2;H0YGD1	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1"	ARAP1	27.4882	27.7179	26.8844	26.5635	27.1399	27.2822	26.6234	26.4509	26.6862	26.8002	25.6682	26.0028	26.1896	26.8843	26.7982	26.7806	27.1875	27.3063		
Q8WZ64	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2"	ARAP2	24.3539	NA	NA	NA	NA	NA	NA	21.2542	NA	22.1461	NA	22.2386	22.1863	21.1905	NA	NA	21.4117	NA		
Q9ULH1;Q9ULH1-2;H0YBF7;H0YBM4;H0YBY9;E5RHD7;E5RFD9;O43150-2;O43150	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"	ASAP1	27.0761	27.5157	27.2928	27.358	26.907	26.5015	27.7146	26.605	26.2036	26.9777	25.7892	25.6971	25.9143	26.1423	25.3491	25.7077	25.6863	26.9864		
Q9Y2X7;Q9Y2X7-3;J3QRU8;J3QQI0;J3QLH1;J3QL89;K7EN79;Q9Y2X7-2	"ARF GTPase-activating protein GIT1"	GIT1	28.306	29.2201	29.2745	29.6852	29.1711	29.0663	29.2124	28.2805	28.5678	29.037	28.5114	28.1658	28.2325	28.2968	28.5549	28.2386	28.664	28.5301		
Q14161;Q14161-3;Q14161-4;F8VXI9;Q14161-6	"ARF GTPase-activating protein GIT2"	GIT2	28.7664	28.635	28.4047	29.0709	28.4578	28.2792	29.0869	27.3562	28.1546	27.6713	27.0788	25.6858	26.9638	27.0525	26.6849	26.9189	27.8956	27.3238		
P78540	"Arginase-2, mitochondrial"	ARG2	24.1338	NA	23.3557	NA	NA	23.6329	22.3047	NA	24.3411	NA	22.5976	23.4021	25.0065	25.2911	23.6525	26.244	25.0423	24.97		
Q9NWB6	"Arginine and glutamate-rich protein 1"	ARGLU1	27.7554	26.9657	27.5787	26.4389	26.447	27.4867	27.895	24.8992	27.9105	27.6989	28.8026	28.3965	28.1677	27.2837	27.8156	27.3387	27.9329	28.6038		
Q9P2R6;B1AKN3;Q9P2R6-2;H7BYW9;H0Y975	"Arginine-glutamic acid dipeptide repeats protein"	RERE	NA	NA	NA	NA	22.3215	NA	24.9156	NA	NA	NA	NA	NA	NA	21.824	NA	NA	NA	22.0075		
Q7L4I2;Q7L4I2-2;H0YGP9;E1B6W4;E9PI52	"Arginine/serine-rich coiled-coil protein 2"	RSRC2	28.1274	27.5109	28.2912	27.6766	27.4221	27.4555	28.1082	26.7392	26.8707	26.1556	27.7279	27.1128	26.9344	27.1002	27.2523	27.3927	26.8547	27.2731		
Q8TF01;Q8TF01-2	"Arginine/serine-rich protein PNISR"	PNISR	25.9935	25.6299	25.5298	26.4128	24.7672	25.4655	26.1624	25.5306	23.1996	24.8404	25.5065	23.8178	25.1012	23.9457	23.389	24.4267	23.9687	24.721		
P54136;P54136-2;F5H3T8;E5RJM9;E5RH09;E5RI24	"Arginine--tRNA ligase, cytoplasmic"	RARS	30.1405	30.5061	30.6851	29.732	30.4277	30.1683	29.7769	30.9002	30.7382	30.7029	31.5829	31.7066	31.8855	31.5255	31.4525	31.5874	31.3147	31.3658		
P04424;E7EMI0;E9PE48;F8W943	"Argininosuccinate lyase"	ASL	22.3674	24.2489	22.554	NA	24.1652	23.0298	25.6796	23.5851	22.0876	23.2666	NA	25.3312	24.4035	24.9256	24.9722	24.9714	25.3866	25.9456		
P00966;Q5T6L6;Q5T6L5;Q5T6L7	"Argininosuccinate synthase"	ASS1	NA	NA	NA	NA	23.2286	NA	NA	23.8826	NA	21.9116	NA	NA	NA	NA	NA	NA	NA	NA		
O95260-2;B4E107	"Arginyl-tRNA--protein transferase 1"	ATE1	27.0488	27.4218	27.4844	26.1151	26.4522	26.5951	27.7229	26.2936	26.144	26.3067	26.217	24.7554	26.0238	25.5828	24.9025	25.4409	26.4374	24.9672		
Q9NVT9;E5RJ86;E5RHK3;E9PR92;B4E2W7	"Armadillo repeat-containing protein 1"	ARMC1	25.224	27.0175	27.1053	25.5857	26.3088	25.5614	26.965	25.5194	27.2035	26.0555	27.6767	26.4724	26.7665	26.1589	26.9816	27.0798	26.851	25.6471		
Q8N2F6-3;Q8N2F6;H7BXQ8;H7C2M7;C9J5N7	"Armadillo repeat-containing protein 10"	ARMC10	27.2065	25.8672	27.8913	25.4584	26.2377	27.0832	27.7448	26.884	26.2917	26.9636	26.423	26.3056	26.7684	25.7576	25.5217	25.4227	24.4107	26.4497		
Q96C12;F5H156;J3KQ26;Q96C12-2;E7EMQ9;H3BS74;Q96C12-3;Q96C12-4	"Armadillo repeat-containing protein 5"	ARMC5	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.3631	NA	NA	NA	NA	24.6268	22.3036	NA	NA		
Q6NXE6-2;Q6NXE6;B4E1N1;F5H4P3;F5GWV0;H0YH65;F5GWK8;H0YGL0;F5H2X2;F5H2K4;F5H052;F5H3X1;F5GZP0;F5H6J3;F5H7V0;H0YGQ5	"Armadillo repeat-containing protein 6"	ARMC6	23.021	25.2217	25.4301	22.4538	22.9403	25.1705	NA	25.9357	23.5752	25.4203	26.398	26.6137	26.4962	26.6858	26.9375	27.1496	25.7855	25.9956		
Q8IUR7;A8MTG8;Q8IUR7-2;Q8IUR7-7;Q8IUR7-8;C9J2I1;C9JAA7;C9JBY2;C9J625	"Armadillo repeat-containing protein 8"	ARMC8	28.6405	28.2554	28.5338	28.2273	28.5065	28.5084	28.5795	27.6393	27.8159	28.3299	28.264	28.0709	27.3517	26.9902	27.1108	26.9238	27.7434	27.3853		
Q9P291	"Armadillo repeat-containing X-linked protein 1"	ARMCX1	NA	NA	NA	24.9675	NA	24.3661	NA	NA	NA	NA	NA	22.7261	22.4399	23.4167	NA	NA	NA	22.7209		
Q9UH62;H3BV87;H3BM63	"Armadillo repeat-containing X-linked protein 3"	ARMCX3	24.984	24.186	25.6678	25.3948	24.9416	25.1637	26.6651	26.2827	25.9371	23.5686	27.2619	27.693	27.4912	26.3646	26.5207	26.7239	26.8292	26.0866		
Q8N5I2;Q5T370;Q5T371;F2Z3I4	"Arrestin domain-containing protein 1"	ARRDC1	27.1317	25.3638	25.8724	23.0091	25.1885	23.958	NA	25.5113	25.4336	24.3562	25.4694	24.7675	NA	25.5021	24.8764	24.3262	25.0515	24.4659		
P18440;F5H5R8	"Arylamine N-acetyltransferase 1"	NAT1	25.2981	NA	22.9728	25.5914	24.6277	24.3094	NA	NA	23.27	22.9755	24.7981	NA	NA	23.2115	24.3585	NA	23.3752	NA		
"P35869;E5RGQ2;G3V143;E5RFG4;A9YTIntenstiy q3;A9YTIntenstiy q3-3;A9YTIntenstiy q3-2"	"Aryl hydrocarbon receptor"	AHR	23.9861	23.3913	24.571	NA	23.5467	19.3363	22.8714	24.5511	24.098	25.1957	23.3156	22.6613	23.9756	25.1392	24.0977	24.0867	24.2299	24.8993		
P27540-2;P27540;P27540-3;F8WAP6;A6NGV6;D6RDB3	"Aryl hydrocarbon receptor nuclear translocator"	ARNT	25.0625	24.5312	23.8073	25.6216	25.211	24.1852	24.9545	24.1301	24.2776	23.9527	23.7415	25.539	25.1244	25.7683	25.3994	24.8392	24.8406	25.7016		
P15289-2;P15289	"Arylsulfatase A;Arylsulfatase A component B;Arylsulfatase A component C"	ARSA	23.4439	25.8326	25.6632	22.5911	25.4716	26.0591	NA	24.2361	24.4574	24.416	22.484	23.2794	22.831	23.268	23.0773	23.8586	22.7008	22.38		
Q9BVC5;C9J4K0;B4E2G9	Ashwin	C2orf49	24.8034	26.0543	26.7497	25.2044	25.254	25.0287	26.3626	25.2774	24.6831	24.8713	25.499	25.3104	25.0847	25.334	25.3963	24.6146	25.6411	25.6077		
C9IYZ1;Q9NWL6;C9J6C1	"Asparagine synthetase domain-containing protein 1"	ASNSD1	NA	NA	NA	NA	NA	NA	NA	23.0966	NA	23.88	23.4133	24.1895	NA	21.9593	23.4598	24.2794	24.328	23.5789		
P08243-2;P08243;P08243-3;F8WEJ5;C9J057;C9JT45;C9JM09;C9JLN6	"Asparagine synthetase [glutamine-hydrolyzing]"	ASNS	23.6471	25.6378	23.6165	23.0973	25.0236	24.3001	23.4485	30.2971	29.0389	29.3441	30.4438	30.8927	30.8963	30.9076	30.7478	30.767	30.2495	30.6433		
"O43776;B4DN60;K7EIU7;B4DG16;K7EJ19;K7EIntenstiy q35;K7EPK2;K7EMQ6;REV__H7C110"	"Asparagine--tRNA ligase, cytoplasmic"	NARS	29.5708	30.394	30.2265	29.2495	30.1267	30.1389	30.04	29.9502	29.6063	30.0021	30.1562	30.0637	30.1959	30.04	30.1561	30.0525	29.6968	30.1487		
P17174;B7Z7E9	"Aspartate aminotransferase, cytoplasmic;Aspartate aminotransferase"	GOT1	29.5063	29.6423	29.3941	29.4102	29.0927	29.5827	29.1292	29.8222	28.9997	29.3571	28.8012	29.8713	29.8723	30.0049	30.2171	30.1208	29.8949	30.2284		
P00505;E7ERW2	"Aspartate aminotransferase, mitochondrial;Aspartate aminotransferase"	GOT2	31.0044	31.4351	31.5386	31.6729	31.7083	31.665	30.2463	31.5874	31.7746	31.6614	31.2355	31.185	31.0057	31.3129	31.5028	31.4335	31.7146	31.6298		
P14868;Q68CR9;H7BZ35;C9J7S3;C9JLC1;H7C278	"Aspartate--tRNA ligase, cytoplasmic"	DARS;DKFZp781B11202	30.6609	30.9377	30.9589	30.4972	30.9285	30.7715	29.8722	31.135	30.8644	30.9747	31.3208	31.6396	31.6133	31.8474	31.7613	31.885	31.9605	32.1484		
Q6PI48;Q9H9M6	"Aspartate--tRNA ligase, mitochondrial"	DARS2	28.0405	28.2288	27.8095	28.5657	27.1642	27.3428	28.3789	27.7178	27.2602	28.1794	27.3993	27.7161	27.9411	27.7517	28.3377	28.3912	27.4745	27.7734		
Q9ULA0;E7ETB3;E7EMB6;C9JBE1;F8WAN0;C9J1E2;C9JRG3;E5RJ35	"Aspartyl aminopeptidase"	DNPEP	31.5698	31.2345	31.0384	31.6172	30.9603	31.4398	30.9087	30.5732	30.5694	30.9445	30.6591	29.5111	29.7149	29.295	29.2117	29.3835	29.1411	29.3276		
F5H667;Q12797;E5RHK2	"Aspartyl/asparaginyl beta-hydroxylase"	ASPH	NA	21.4581	NA	NA	NA	NA	22.5501	NA	NA	NA	22.795	NA	NA	NA	NA	NA	NA	NA		
Q15121;B1AKZ3;B1AKZ5	"Astrocytic phosphoprotein PEA-15"	PEA15	26.1843	27.3091	27.1944	27.072	27.7057	27.5316	24.3503	26.9493	27.2139	27.5863	28.4552	28.3858	27.9553	27.547	27.8769	28.0305	27.8141	26.8433		
Q9UBB4;Q9UBB4-2;B1AHE4;B1AHE3;H0Y7N2	Ataxin-10	ATXN10	28.6868	28.6614	28.1604	29.0656	28.3259	28.9749	28.0737	28.9639	28.6601	28.6159	29.5119	29.4746	29.242	28.9627	28.8818	28.8436	28.8491	28.5414		
Q99700-4;Q99700;H0YH87;Q99700-2;F8VQP2;F8WB06;Q24JQ7;F8VVY6;F8VQS0;F8VZQ7	Ataxin-2	ATXN2	26.4433	24.5061	24.9545	25.2645	26.1914	23.8384	26.8711	26.5737	24.8772	26.0781	26.682	26.9997	26.8369	26.709	26.9165	26.7295	27.0288	26.4288		
Q8WWM7;Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-2;Q8WWM7-3;H3BRB0	"Ataxin-2-like protein"	ATXN2L	29.5997	29.4244	29.3332	29.7453	29.2683	29.0258	29.8691	29.1316	29.0268	28.9363	29.7892	29.8486	29.8966	29.7517	29.9176	29.8676	29.8155	29.7303		
P54252-2;P54252;F5H211;G3V3R7;E9PB63;C9JQV6;G3V328;P54252-3;G3V4U9;G3V3T6;E9PJN5;G3V2G1;G3V4F5;G3V4F4;G3V5H3;G3V526;G3V2G2;D6RDL9;G3V3T0;G3V390;G3V3A6;D3VVP3;D6R9I5;G3V4B1;G3V3S5	Ataxin-3	ATXN3	26.4154	26.9664	26.4409	23.7887	26.4683	26.8096	26.1402	25.8726	26.0732	25.6653	24.6497	23.3961	24.316	25.5101	25.2124	25.0325	25.0897	24.9281		
Q5T6C5;Q5T6C4	"Ataxin-7-like protein 2"	ATXN7L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.0315	23.3001	23.2945	22.9899	22.7635	23.0002	22.8714	22.8427		
Q6SPF0;E9PIW9;F8WDT5	Atherin	SAMD1	26.423	26.6469	25.9244	26.4238	25.8214	26.0881	25.9825	25.1318	25.9754	25.3509	25.4186	25.568	25.448	25.5563	25.3645	25.3146	25.5005	25.4147		
Q7Z591;Q7Z591-7;Q7Z591-2;Q7Z591-8;Q7Z591-5;Q7Z591-3;Q7Z591-6;Q7Z591-4	"AT-hook-containing transcription factor"	AKNA	25.2929	27.2068	26.6894	23.3857	26.1112	25.3848	26.8709	26.3019	26.5534	25.7625	25.4007	24.0228	25.4514	25.1938	25.8114	28.8792	26.8781	25.6055		
B7Z7X8;Q8NHH9;Q8NHH9-4;Q8NHH9-2;Q8NHH9-3;B5MCN0;H7C3A2;C9JQQ5;C9JC25	Atlastin-2	ATL2	24.8153	24.0887	24.5677	23.4372	24.6107	22.8435	24.6288	25.2234	24.3255	23.9481	25.8471	25.0119	25.8307	25.6768	25.7043	25.6285	25.071	26.0787		
Q6DD88;F5GWF8	Atlastin-3	ATL3	29.7322	29.6292	29.5312	30.0121	29.2953	29.3909	29.8055	29.3238	29.3774	29.1859	29.5095	28.5509	28.6133	28.5119	28.4449	28.5612	29.0011	28.8384		
O43681;K7ERW9	"ATPase ASNA1"	ASNA1	27.5307	28.3923	27.7734	25.847	28.1117	27.8444	28.0652	27.9487	28.0879	28.4686	28.485	28.181	28.3226	28.3896	28.68	28.703	28.6076	28.524		
Q8NBU5;B4E2J1;Q8NBU5-2	"ATPase family AAA domain-containing protein 1"	ATAD1	28.0998	27.054	27.0518	26.81	26.7895	26.4992	27.3109	26.6189	26.819	26.796	27.0932	27.2187	26.9518	26.7829	26.4897	26.908	26.799	26.7828		
Q6PL18;Q6PL18-2;E5RHW7;E5RIP2	"ATPase family AAA domain-containing protein 2"	ATAD2	22.3363	25.5439	21.7563	23.7331	21.7392	24.0409	21.0094	22.8532	21.8595	22.8825	26.8688	28.5503	28.6848	28.337	28.6591	28.4461	28.3691	28.1384		
Q9ULI0-2;Q9ULI0;H7BYF1;H7C475;C9JG15;C9J1G9	"ATPase family AAA domain-containing protein 2B"	ATAD2B	24.2713	21.9951	NA	23.1478	NA	23.2243	NA	22.5631	NA	NA	NA	21.1892	22.3839	22.4194	21.4313	21.8237	22.1535	NA		
Q9NVI7-2;Q9NVI7;H0Y2W2;Q9NVI7-3;Q5SV16	"ATPase family AAA domain-containing protein 3A"	ATAD3A	29.672	28.7773	28.8194	28.9154	29.7168	29.396	28.9744	29.4105	29.0525	29.047	30.0153	30.3173	30.2468	30.0657	29.9916	30.033	30.0957	30.0562		
Q5T9A4;Q5T9A4-3;Q5T9A4-2;A6NFL3	"ATPase family AAA domain-containing protein 3B"	ATAD3B	NA	NA	NA	NA	NA	23.589	NA	23.4348	NA	22.2624	26.2131	25.572	26.1584	25.9887	26.0042	26.1892	24.9658	25.3534		
Q96QE3;Q96QE3-2	"ATPase family AAA domain-containing protein 5"	ATAD5	NA	24.3867	NA	23.6999	NA	NA	NA	25.2131	23.3684	NA	NA	25.0101	25.439	25.1829	24.7759	24.6901	25.4579	23.8492		
Q9UII2;Q9UII2-3;Q9UII2-2;H7C614	"ATPase inhibitor, mitochondrial"	ATPIF1	27.3574	26.7318	26.3366	26.7356	27.0625	26.8909	26.768	27.1248	28.3308	27.329	26.2374	22.9902	25.577	24.9675	23.7121	24.8163	26.8469	23.0245		
Q96S55-2;Q96S55;Q96S55-3;Q96S55-4	"ATPase WRNIP1"	WRNIP1	26.8858	27.101	25.7622	26.0773	26.4279	26.5278	27.1926	26.0006	26.8252	26.043	26.9061	25.6255	25.6297	26.3517	26.5018	25.5738	25.9849	26.4894		
Q9NRK6	"ATP-binding cassette sub-family B member 10, mitochondrial"	ABCB10	25.4571	25.4491	24.3685	25.2974	NA	24.2424	NA	23.6613	23.471	23.7137	24.3287	25.965	25.9526	26.2347	25.6644	26.0841	26.3359	26.2315		
H7BXK9;Q9NP58-4;Q9NP58	"ATP-binding cassette sub-family B member 6, mitochondrial"	ABCB6	NA	NA	NA	NA	NA	NA	NA	NA	22.2351	22.7463	22.8642	23.4902	NA	23.3207	22.1229	NA	NA	22.3238		
O75027;O75027-2;B4DGL8;G3XAC4;E9PJR8;E9PNQ5	"ATP-binding cassette sub-family B member 7, mitochondrial"	ABCB7	27.8565	25.5256	27.0057	27.4061	27.3855	26.8067	27.2724	26.8495	26.7852	26.7858	26.4709	27.1165	26.808	26.8241	26.489	26.6603	26.4127	27.1808		
G3XAP3;Q9NUT2-2;Q9NUT2;A5D8W3;C9JYI3;C9JTY4;E7ENE8;H7C5K9	"ATP-binding cassette sub-family B member 8, mitochondrial"	ABCB8	23.4261	22.6701	24.8405	25.6298	NA	22.2947	23.6177	24.3083	NA	25.105	NA	23.7714	24.2324	23.6196	25.2927	25.1377	NA	25.252		
P33897;H0Y7L9;A6NEP8	"ATP-binding cassette sub-family D member 1"	ABCD1	23.983	24.223	NA	22.2466	24.0006	23.4113	NA	NA	20.8947	21.9706	21.6961	NA	NA	NA	NA	NA	22.4697	NA		
Q9UBJ2	"ATP-binding cassette sub-family D member 2"	ABCD2	25.2052	26.3044	24.6233	23.3045	22.5244	21.5408	22.7788	22.474	23.0247	23.6503	NA	NA	NA	NA	NA	NA	NA	NA		
P28288;E7EUE1;F5GYC1;P28288-2;P28288-3	"ATP-binding cassette sub-family D member 3"	ABCD3	26.2329	26.2002	25.8487	27.2471	25.4869	25.9618	27.1881	26.2213	25.4491	26.27	26.8904	27.3876	27.1832	27.1879	27.2986	27.4693	27.2807	26.8127		
O14678;H0YJ78;F8W7M4;E9PI46;G3V3W1;H0YCY9;G3V4U7	"ATP-binding cassette sub-family D member 4"	ABCD4	NA	NA	NA	NA	NA	NA	NA	24.3966	25.3612	24.6491	NA	NA	21.9838	NA	NA	NA	NA	NA		
P61221;D6R9I9;D6RGF4	"ATP-binding cassette sub-family E member 1"	ABCE1	30.8547	30.8491	31.007	31.0341	30.7196	30.9415	30.9619	30.8953	30.6664	30.637	31.2583	31.5854	31.7383	31.441	31.4208	31.4548	30.849	31.2738		
Q8NE71;Q8NE71-2;H0YGW7;Q5STZ7;F5GYK6	"ATP-binding cassette sub-family F member 1"	ABCF1	30.4375	31.0479	30.811	31.4296	30.7637	30.7549	31.1442	30.6775	30.2946	30.5434	31.3868	30.7353	30.8446	30.8533	30.7964	30.6818	30.7584	30.6033		
Q9UG63;Q75MJ1;C9JHK9;C9JZV3	"ATP-binding cassette sub-family F member 2"	ABCF2	28.3672	28.187	28.4982	27.1361	28.8497	28.5506	28.6571	29.9675	28.8432	29.2432	30.561	30.5637	30.4988	29.8527	29.7101	30.1147	29.6676	29.419		
Q9NUQ8;Q9NUQ8-2;F8WCU6	"ATP-binding cassette sub-family F member 3"	ABCF3	27.9529	28.2876	28.3192	27.3926	28.1239	27.6896	27.764	27.9726	27.758	28.0543	28.8642	27.9814	28.4417	28.0579	27.8051	28.0373	27.9848	27.7999		
Q7L8W6;H0YNH5;H0YND7;Q7L8W6-2	"ATP-binding domain-containing protein 4"	ATPBD4	NA	NA	23.4458	NA	NA	22.9734	23.9758	NA	24.0392	NA	26.413	NA	NA	22.2051	NA	21.4028	NA	NA		
P53396;P53396-2;B4E3P0;K7EIE7;K7ESG8	"ATP-citrate synthase"	ACLY	29.8472	29.7867	30.1969	29.7341	30.2695	30.3891	29.848	30.8788	30.3585	30.6836	31.541	31.77	31.7824	31.7307	32.0448	31.8818	31.829	31.8142		
O76031;H0YM48;H0YK07	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"	CLPX	27.008	26.9488	26.2811	24.063	25.1322	24.104	26.3349	27.5704	27.3797	26.9285	28.5248	28.6778	28.7523	28.7404	28.3057	28.4801	28.5225	28.3851		
P46063;F8WA66;F8WD97;F5H2L2;F5H4P4;F5H3W0;F5GYB7	"ATP-dependent DNA helicase Q1"	RECQL	31.3785	31.472	31.6772	31.5476	31.1063	31.5426	31.2678	30.4687	31.0486	30.7155	30.328	30.2024	30.3956	30.7504	30.6345	30.4243	30.8734	30.919		
O94761	"ATP-dependent DNA helicase Q4"	RECQL4	NA	NA	NA	NA	24.8217	22.1551	NA	NA	23.6527	NA	24.1049	24.3481	24.1782	24.2321	24.0514	24.299	22.1402	23.6079		
O94762;Q6P4G0;J3KTQ2;O94762-2;O94762-3;J3KSL7;J3KSV9;J3QLU0;J3KS37	"ATP-dependent DNA helicase Q5"	RECQL5	22.7411	23.772	22.3661	22.6611	NA	22.7377	25.1465	22.8813	23.0441	24.1294	18.9393	23.1716	23.858	NA	NA	22.8249	23.4994	NA		
Q08211;Q08211-2;REV__H0YA90;REV__Q7Z6J0-3	"ATP-dependent RNA helicase A"	DHX9	32.8507	32.8126	32.9333	32.2685	32.6739	32.9905	32.499	33.058	32.9846	33.0237	33.3628	33.0126	33.3072	33.1392	33.1697	33.1719	32.8647	33.2109		
Q92499	"ATP-dependent RNA helicase DDX1"	DDX1	31.7889	31.0658	31.7818	31.1631	31.7947	31.844	31.6328	31.1682	31.0774	31.0176	30.9738	30.9445	30.9927	31.013	31.0145	30.9935	30.6645	30.998		
Q9NVP1;H7C452	"ATP-dependent RNA helicase DDX18"	DDX18	30.2913	30.2063	30.3395	30.3617	30.1153	30.1691	30.204	30.6642	30.3173	30.1939	30.8841	30.8322	30.8686	30.4306	30.4389	30.5171	29.9098	30.0539		
Q9NUU7;I3L0H8;B4DRZ7;I3L352;H3BTB3;J3QRH0;H3BSL8;H3BP36;H3BP50;H0YD26	"ATP-dependent RNA helicase DDX19A"	DDX19A	29.9268	29.7874	29.915	30.0049	30.291	30.1623	30.1505	29.519	29.3073	29.7055	29.8751	29.938	29.945	29.7696	29.7073	29.795	29.735	29.7018		
Q9UMR2;H3BQK0;Q9UMR2-2;Q9UMR2-4;Q9UMR2-3;H3BN59;H3BMQ5;H3BTX1	"ATP-dependent RNA helicase DDX19B"	DDX19B	27.2233	26.622	25.2207	27.3929	25.1129	26.8999	26.3933	24.3295	29.0555	25.7134	25.4296	25.1784	24.4205	25.2402	24.874	25.4851	24.2589	25.7421		
G3V529;Q9GZR7;F5GYL3	"ATP-dependent RNA helicase DDX24"	DDX24	30.277	30.2391	30.6512	30.5813	30.2684	30.1077	31.2691	30.5972	30.358	30.5495	30.8302	30.5766	30.6199	30.2019	30.2347	30.2621	30.4417	30.2988		
O00148;Q8N5M0;B1Q2N1;K7EQN7;K7EN69;K7ENP6;K7EL56;K7EIL8;K7EN25	"ATP-dependent RNA helicase DDX39A"	DDX39A;DDX39	29.9654	28.2478	29.6025	29.6681	29.7083	29.707	28.3758	29.5677	28.117	29.0468	29.6639	29.67	29.9784	30.051	29.7825	29.6996	29.6215	30.0427		
O00571;O00571-2;B4E3C4;B4DLA0;D6RCM4;Q9NQI0-3;Q9NQI0-2;D6RDK4;Q9NQI0;H0Y960	"ATP-dependent RNA helicase DDX3X"	DDX3X	30.0381	30.2193	30.5815	29.7965	30.5359	30.6452	30.5611	32.1538	31.4775	31.7634	32.5052	32.5229	32.479	31.8464	31.7368	31.9245	31.9841	31.4947		
O15523;B4E132;C9J8G5	"ATP-dependent RNA helicase DDX3Y"	DDX3Y	24.4107	26.6528	20.8619	25.2234	27.181	26.9973	22.0821	28.2568	27.0876	28.1495	27.952	28.1351	28.4502	27.8553	27.767	27.7462	27.4801	27.4579		
Q86XP3;Q86XP3-2;J3QRI2;J3KTK9;J3KRE3	"ATP-dependent RNA helicase DDX42"	DDX42	30.0714	29.6515	29.3725	29.0235	29.3469	29.584	29.27	29.3463	29.5578	29.2408	29.4927	29.2763	29.504	29.4585	29.4099	29.3893	29.5093	29.4769		
"Q9BIntenstiy q39"	"ATP-dependent RNA helicase DDX50"	DDX50	23.8243	26.3843	27.3964	25.4751	26.8565	26.7854	27.322	27.983	27.9052	27.6524	28.2607	28.7688	28.715	28.9057	29.2029	28.9898	28.4514	28.6933		
Q8N8A6	"ATP-dependent RNA helicase DDX51"	DDX51	26.5191	27.1593	27.2444	26.6402	27.1231	27.2655	24.5516	27.6397	26.9242	26.8717	28.0088	27.8111	28.0281	27.5833	27.3756	27.5431	26.7595	27.4707		
Q8TDD1	"ATP-dependent RNA helicase DDX54"	DDX54	NA	NA	NA	21.9197	21.456	21.5603	NA	NA	NA	NA	24.2825	NA	NA	NA	21.3542	21.1267	NA	NA		
Q8NHQ9;F5H5U2;Q8IYH0;F5H2I2;F5H735	"ATP-dependent RNA helicase DDX55"	DDX55	26.9755	26.9828	27.1467	26.9074	26.9976	27.1572	27.3189	26.8696	27.1163	27.228	27.771	28.022	27.6711	27.4557	27.1874	27.1417	25.0987	27.0084		
Q7Z478;H0Y8L1	"ATP-dependent RNA helicase DHX29"	DHX29	26.3495	26.4584	26.7403	25.4675	25.2088	25.2659	26.7323	26.4343	26.0329	26.7722	26.9185	27.1471	27.0087	26.4836	27.0858	26.9727	26.8322	27.2586		
Q14562;F5H658;K7EQH7;K7END7;K7EJH9	"ATP-dependent RNA helicase DHX8"	DHX8	28.3736	28.5262	27.7767	27.7496	27.7694	27.2177	28.0041	27.5288	27.4581	27.8113	27.9741	27.6174	27.8127	27.7152	27.5853	27.2958	27.4028	27.5697		
Q8IYB8;B1AR60	"ATP-dependent RNA helicase SUPV3L1, mitochondrial"	SUPV3L1	28.5429	28.9776	28.5324	28.3747	28.3096	28.2543	29.054	28.0633	28.1542	28.1122	28.2138	27.846	27.9646	27.7609	27.814	27.6413	27.6149	27.9537		
