"","tsne.x","tsne.y","membership","pert_iname","clinical_phase","moa","target","disease_area","indication"
"brivanib",17.4849734673862,12.331885800928,7,"brivanib","Phase 3","FGFR inhibitor|VEGFR inhibitor","CYP3A4|FGFR1|FLT1|KCNH2|KDR","",""
"BRL-15572",15.9594773196987,15.9524281680377,7,"BRL-15572","Preclinical","serotonin receptor antagonist","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6","",""
"BRL-37344",18.975454707633,26.0295373345654,4,"BRL-37344","Phase 2","adrenergic receptor agonist","ADRB1|ADRB2|ADRB3","",""
"BRL-50481",-1.34339665148893,23.7509841785986,1,"BRL-50481","Preclinical","phosphodiesterase inhibitor","PDE7A|PDE7B","",""
"BRL-52537",-24.9555808895872,0.753102404356716,15,"BRL-52537","Preclinical","opioid receptor agonist","OPRK1","",""
"BRL-54443",9.59000702972813,24.2766151504658,12,"BRL-54443","Preclinical","serotonin receptor agonist","HTR1E|HTR1F","",""
"Broad-Sai-071",-6.18569798441801,4.94888393734751,11,NA,NA,NA,NA,NA,NA
"bromhexine",16.5651683157086,20.93768467689,4,"bromhexine","Launched","mucolytic agent","","pulmonary","chest congestion"
"bromocriptine",5.99699213633966,16.2180678644102,24,"bromocriptine","Launched","dopamine receptor agonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7","endocrinology|neurology/psychiatry","hyperprolactinemia|Parkinson's Disease|acromegaly"
"brompheniramine",-3.16878390598719,7.05077066081813,11,"brompheniramine","Launched","histamine receptor antagonist","CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1","allergy|otolaryngology","allergic rhinitis|common cold"
"BRP44",-3.22569473021431,-31.6456241703563,8,NA,NA,NA,NA,NA,NA
"BRPF1",9.52436381382186,-26.1419830717447,17,NA,NA,NA,NA,NA,NA
"brucine",15.3741405011058,-0.100762260367655,13,"brucine","Preclinical","glycine receptor antagonist","CHRM1|CHRM2|CHRM3|CHRM4|CHRM5","",""
"BTC",-23.8664204112057,16.6809978507754,3,NA,NA,NA,NA,NA,NA
"BTG1",-5.16540368197733,-25.4684653382289,8,NA,NA,NA,NA,NA,NA
"BTG3",-24.1937570683151,-8.86848347784538,22,NA,NA,NA,NA,NA,NA
"BTK",17.5482562045017,-17.9910268628416,9,NA,NA,NA,NA,NA,NA
"BTRC",-7.74980857544516,-27.4780812660236,8,NA,NA,NA,NA,NA,NA
"BU-224",13.2981944788115,3.89765267147323,13,"BU-224","Preclinical","imidazoline receptor ligand","MAOA|MAOB","",""
"BU-226",-14.3689886505905,6.83012174952042,2,NA,NA,NA,NA,NA,NA
"BU-239",8.39070135964259,32.9992391703568,12,"BU-239","Preclinical","imidazoline receptor ligand|imidazoline receptor agonist","","",""
"BUB1B",-13.2390954097544,-21.8424311613655,20,NA,NA,NA,NA,NA,NA
"BUB3",9.85212478186733,-25.597148259883,17,NA,NA,NA,NA,NA,NA
"bucladesine",21.8426935492336,17.5072887122099,4,"bucladesine","Launched","adenosine receptor agonist|cAMP stimulant","PRKACA","dermatology","skin ulcer"
"BUD13",-10.849810176145,-17.3588984627118,28,NA,NA,NA,NA,NA,NA
"BUD31",-8.44900989695804,-21.3249096260537,10,NA,NA,NA,NA,NA,NA
"buddleoflavonoloside",7.70425927880301,28.2739628072852,12,NA,NA,NA,NA,NA,NA
"budesonide",1.19038818719623,11.0798933658177,11,"budesonide","Launched","glucocorticoid receptor agonist","NR3C1","gastroenterology","Crohn's disease"
"bufalin",6.23845256144866,-7.01165278757376,19,NA,NA,NA,NA,NA,NA
"bulleyaconitine-a",17.5699225243309,24.0881216100655,4,NA,NA,NA,NA,NA,NA
"bumetanide",7.00936570314346,27.7116093549361,12,"bumetanide","Launched","solute carrier family member inhibitor","CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5","cardiology","edema|congestive heart failure"
"buparlisib",-1.06053646664089,7.21933285373246,11,"buparlisib","Phase 3","PI3K inhibitor","PIK3CA|PIK3CG","",""
"buphenine",8.31695294021357,32.0163937349997,12,"buphenine","Launched","adrenergic receptor agonist","ADRB2","rheumatology","Raynaud's disease"
"bupropion",-15.1200674652928,1.34865110878213,15,"bupropion","Launched","dopamine uptake inhibitor","CHRNA3|SLC6A2|SLC6A3","neurology/psychiatry","depression"
"buspirone",-16.6299490434744,3.45870189998518,15,"buspirone","Launched","serotonin receptor agonist","DRD2|HTR1A","neurology/psychiatry","generalized anxiety disorder (GAD)"
"butabindide",18.0380655202906,19.0770254356438,4,"butabindide","Preclinical","tripeptidyl peptidase inhibitor","TPP2","",""
"butein",10.8922186559513,-0.151219053174274,13,"butein","Preclinical","EGFR inhibitor|src inhibitor","ACE","",""
"butoconazole",6.38990382887978,5.14679864600142,14,"butoconazole","Launched","bacterial cell wall synthesis inhibitor","","infectious disease","vulvovaginal candidiasis"
"butylparaben",13.117504577234,16.2305028724268,7,NA,NA,NA,NA,NA,NA
"BW-723C86",14.0677659040375,16.4779240692628,7,"BW-723C86","Preclinical","serotonin receptor agonist","HTR2A|HTR2B|HTR2C","",""
"BW-B70C",13.4254303191942,15.2556143580678,7,"BW-B70C","Preclinical","lipoxygenase inhibitor","ALOX5","",""
"BX-795",10.7268277428641,1.67877209956875,13,"BX-795","Preclinical","IKK inhibitor","CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1","",""
"BX-912",13.003850247182,-1.20457160567958,13,"BX-912","Preclinical","pyruvate dehydrogenase kinase inhibitor","CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1","",""
"byssochlamic-acid",21.6294707576714,17.7840651007074,4,NA,NA,NA,NA,NA,NA
"BZW2",-12.1823262140582,-8.91203188988115,27,NA,NA,NA,NA,NA,NA
"C16ORF5",-11.5460059303135,-14.2013248680017,28,NA,NA,NA,NA,NA,NA
"C16ORF80",-5.02775157766969,-21.407317661942,10,NA,NA,NA,NA,NA,NA
"C19ORF10",17.9630993802784,-17.5675439856421,9,NA,NA,NA,NA,NA,NA
"C1S",-20.6755345932724,-10.3655659130116,27,NA,NA,NA,NA,NA,NA
"C2",-21.4515666802876,-10.0040724269404,22,NA,NA,NA,NA,NA,NA
"C5ORF62",-6.02140133031975,-21.6585436745253,10,NA,NA,NA,NA,NA,NA
"CA-074-Me",-0.0254715504604105,-6.13738789173049,19,NA,NA,NA,NA,NA,NA
"CAB39",-13.349323321864,-23.3373585486823,20,NA,NA,NA,NA,NA,NA
"cabergoline",15.1098293571212,15.8948424296995,7,"cabergoline","Launched","dopamine receptor agonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7","endocrinology","hyperprolactinemia"
"caffeic-acid",5.93867284525892,14.7220078288136,24,"caffeic-acid","Preclinical","HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor","ALOX5|MIF","",""
"caffeine",-14.155518263228,15.1303780781041,2,"caffeine","Launched","adenosine receptor antagonist|phosphodiesterase inhibitor","ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3","neurology/psychiatry","fatigue|drowsiness|fatigue|drowsiness"
"calcifediol",5.36034979035104,2.51413762557936,14,"calcifediol","Launched","vitamin D receptor agonist","VDR","",""
"calcipotriol",-3.53939579781178,4.66087939811404,11,"calcipotriol","Launched","vitamin D receptor agonist","VDR","dermatology","psoriasis"
"calcitriol",13.2554925638208,2.27113731623045,13,"calcitriol","Launched","vitamin D receptor agonist","VDR","endocrinology|orthopedics","hypocalcemia|hypoparathyroidism|osteoporosis"
"CALCOCO2",-15.1124930194852,-15.1679133383465,27,NA,NA,NA,NA,NA,NA
"CALM1",-15.075335368247,-24.9649874847524,20,NA,NA,NA,NA,NA,NA
"CALM2",-16.4943568782923,-19.0350838694728,27,NA,NA,NA,NA,NA,NA
"CALM3",10.2587833893132,-24.566608736277,17,NA,NA,NA,NA,NA,NA
"calmidazolium",5.60407308027331,-1.41735954471716,14,NA,NA,NA,NA,NA,NA
"calpeptin",4.51303031771674,9.13253509343849,29,"calpeptin","Preclinical","calpain inhibitor","","",""
"CALR",17.6191941310724,-13.2483223949783,9,NA,NA,NA,NA,NA,NA
"CALU",-13.6623014864168,-15.256161797298,27,NA,NA,NA,NA,NA,NA
"calycanthine",-11.8777914500314,0.316355765085411,15,NA,NA,NA,NA,NA,NA
"calyculin",8.35155197660584,-10.4890190380162,26,NA,NA,NA,NA,NA,NA
"CAM-9-027-3",6.46784430035231,12.2092887211592,29,NA,NA,NA,NA,NA,NA
"CAMK1",-13.0140817475754,-23.3095787756595,20,NA,NA,NA,NA,NA,NA
"CAMK2D",-11.8022879588224,-15.7829133184342,28,NA,NA,NA,NA,NA,NA
"CAMLG",-15.6860267910976,-15.5813722649322,27,NA,NA,NA,NA,NA,NA
"camptothecin",16.6972926921294,7.00742824240243,5,"camptothecin","Phase 3","topoisomerase inhibitor","TOP1","",""
"candesartan",3.53366548747592,3.85240057800016,11,"candesartan","Launched","angiotensin receptor antagonist","AGTR1","cardiology","hypertension|congestive heart failure"
"canertinib",-0.582596547902286,7.97510161711322,11,"canertinib","Phase 3","EGFR inhibitor","AKT1|EGFR|ERBB2|ERBB4","",""
"canrenoic-acid",17.7965369723226,18.0396671923489,7,NA,NA,NA,NA,NA,NA
"CANT1",9.01109450695956,-17.0967828591636,26,NA,NA,NA,NA,NA,NA
"capecitabine",0.846549357452854,31.435634797768,1,"capecitabine","Launched","DNA synthesis inhibitor|thymidylate synthase inhibitor","TYMS","oncology","breast cancer|colorectal cancer"
"CAPG",-13.8561919169218,-10.982890618914,27,NA,NA,NA,NA,NA,NA
"CAPN1",1.59038079697345,-25.0912052470949,16,NA,NA,NA,NA,NA,NA
"CAPNS2",9.89513304668799,-23.8251933891517,17,NA,NA,NA,NA,NA,NA
"capsaicin",-0.340385478909379,2.87151817559097,11,"capsaicin","Launched","TRPV agonist","CFTR|TRPV1","neurology/psychiatry|rheumatology","muscle pain|rheumatoid arthritis"
"capsazepine",-1.71706613054427,3.55748560475855,11,"capsazepine","Preclinical","TRPV agonist","TRPV1|TRPV4","",""
"carbacyclin",-15.5730284717405,6.15394523105167,15,NA,NA,NA,NA,NA,NA
"carbamazepine",14.075488953316,3.15823247584412,13,"carbamazepine","Launched","carboxamide antiepileptic","SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A","neurology/psychiatry","seizures"
"carbenoxolone",5.58434321539294,31.0457328525567,12,"carbenoxolone","Launched","11-beta hydroxysteroid dehydrogenase inhibitor","GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3","gastroenterology|dental","peptic ulcer disease (PUD)|mouth inflammation"
"carbetocin",4.33651921218851,31.4279133933247,1,"carbetocin","Launched","oxytocin receptor agonist","OXTR","hematology","hemorrhage"
"carbidopa",16.057589349592,19.3656108390026,4,"carbidopa","Launched","aromatic L-amino acid decarboxylase inhibitor","DDC","neurology/psychiatry","Parkinson's Disease"
"carbinoxamine",-11.57092056567,16.9357070904254,2,"carbinoxamine","Launched","histamine receptor antagonist","HRH1","allergy|ophthalmology|otolaryngology|dermatology","allergic rhinitis|conjunctivitis|vasomotor rhinitis|dermatographism"
"carbofuran",-11.4685333950257,11.228926105742,2,NA,NA,NA,NA,NA,NA
"CARD9",1.45688619496406,-25.2249846315865,16,NA,NA,NA,NA,NA,NA
"cardiogenol-c",16.1921720643825,16.2716579633761,7,"cardiogenol-c","Preclinical","cardiomyogenesis inducer","","",""
"carmoxirole",-19.6879207521199,16.1355028078604,3,"carmoxirole","Phase 2","dopamine receptor agonist","DRD2","",""
"carpindolol",7.06574467299226,13.7669051202439,29,NA,NA,NA,NA,NA,NA
"carprofen",20.2496504209417,11.4287370037044,7,"carprofen","Launched","cyclooxygenase inhibitor","PTGS1|PTGS2","rheumatology","osteoarthritis"
"CARS",10.6197500814562,-26.8964291237349,17,NA,NA,NA,NA,NA,NA
"carteolol",22.3945217523583,10.8352795525909,7,"carteolol","Launched","adrenergic receptor antagonist","ADRB1|ADRB2","ophthalmology","intraocular pressure|glaucoma|ocular hypertension"
"carvedilol",6.56928887225585,17.2643568852415,24,"carvedilol","Launched","adrenergic receptor antagonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|GJA1|HIF1A|KCNH2|NDUFC2|NPPB|SELE|VCAM1|VEGFA","cardiology","myocardial infarction|hypertension"
"CASC3",-7.32042365581829,-25.2857904075404,10,NA,NA,NA,NA,NA,NA
"CASD1",12.859592112471,18.7430724546873,7,NA,NA,NA,NA,NA,NA
"CASK",-10.4133516302347,-22.6585019913396,10,NA,NA,NA,NA,NA,NA
"CASP14",6.89202384617038,-13.8106414589053,26,NA,NA,NA,NA,NA,NA
"CASP2",-6.90819698189619,-21.4307758957598,10,NA,NA,NA,NA,NA,NA
"CASP3",-1.00505773075893,-24.6966087649514,8,NA,NA,NA,NA,NA,NA
"CASP6",11.1183856406418,-26.6377766679368,17,NA,NA,NA,NA,NA,NA
"CASP7",-4.38811069921979,-15.7328250417625,10,NA,NA,NA,NA,NA,NA
"CASP9",-15.3580750714464,-10.2288421575574,27,NA,NA,NA,NA,NA,NA
"CAT",-5.37049357330872,-25.543949003216,8,NA,NA,NA,NA,NA,NA
"catechin",10.7631018917255,20.4658845498994,24,NA,NA,NA,NA,NA,NA
"CAV1",-10.4226936083665,-14.7088418794617,28,NA,NA,NA,NA,NA,NA
"CAY-10415",-21.2521740504358,17.5510849730533,3,NA,NA,NA,NA,NA,NA
"CAY-10470",-1.15424982567919,1.28801475999025,11,NA,NA,NA,NA,NA,NA
"CAY-10577",5.27711465215739,21.7609516724152,24,NA,NA,NA,NA,NA,NA
"CAY-10578",-20.9348796958799,8.28984241295378,15,NA,NA,NA,NA,NA,NA
"CAY-10585",15.1512389568503,2.43987612954298,13,NA,NA,NA,NA,NA,NA
"CAY-10594",4.91562058679905,2.72280690949724,14,NA,NA,NA,NA,NA,NA
"CAY-10618",0.281133722201937,1.90149220635884,11,NA,NA,NA,NA,NA,NA
"CBFB",-17.4521528988566,-17.3724140334329,27,NA,NA,NA,NA,NA,NA
"CBLB",-12.8575642171788,-11.7601322861203,27,NA,NA,NA,NA,NA,NA
"CBLC",-8.19582547108453,-19.3286010623141,10,NA,NA,NA,NA,NA,NA
"CBR1",16.3599984572352,-5.43011411880288,13,NA,NA,NA,NA,NA,NA
"CBR3",9.97239591546007,-19.8258955557234,17,NA,NA,NA,NA,NA,NA
"CBS",-12.2294164834627,-16.6628172744753,28,NA,NA,NA,NA,NA,NA
"CBX6",7.92834844965887,-14.1331279147149,26,NA,NA,NA,NA,NA,NA
"CBX7",-20.0107027380644,-14.1377557048233,27,NA,NA,NA,NA,NA,NA
"CCBL1",-7.07075186279294,-20.9574628421866,10,NA,NA,NA,NA,NA,NA
"CCCP",5.28462687337231,-0.0461448335529645,14,NA,NA,NA,NA,NA,NA
"CCDC85B",-18.9311178799782,-17.5759053575595,27,NA,NA,NA,NA,NA,NA
"CCDC86",12.5890523782506,-20.973302501987,17,NA,NA,NA,NA,NA,NA
"CCDC90A",10.2459131286744,-29.5941639084253,17,NA,NA,NA,NA,NA,NA
"CCDC92",-16.4707368574314,-22.1680916744424,20,NA,NA,NA,NA,NA,NA
"CCL2",-19.2871678569936,-11.9474808143341,27,NA,NA,NA,NA,NA,NA
"CCL20",-13.9463102413538,-15.571055688653,27,NA,NA,NA,NA,NA,NA
"CCMQ",-12.1077661205103,9.26473122451597,2,"CCMQ","Preclinical","homoquinolinic acid binding inhibitor","","",""
"CCNC",-1.88421021102251,-18.465358008326,10,NA,NA,NA,NA,NA,NA
"CCND1",-7.51614873870159,-15.9659561580132,28,NA,NA,NA,NA,NA,NA
"CCND2",-24.8577432311105,-9.22999109737117,22,NA,NA,NA,NA,NA,NA
"CCND3",13.9312071285359,-2.02082337260618,13,NA,NA,NA,NA,NA,NA
"CCNE1",16.5508705595092,-19.3078729585618,9,NA,NA,NA,NA,NA,NA
"CCNG1",10.5067417068662,-26.0386158821632,17,NA,NA,NA,NA,NA,NA
"CCNH",-4.24178761427702,-15.9452544430581,10,NA,NA,NA,NA,NA,NA
"CCNL1",5.99284404410924,-23.6077873064685,16,NA,NA,NA,NA,NA,NA
"CCP110",-5.23894286698849,-27.1167919941026,8,NA,NA,NA,NA,NA,NA
"CCRL2",-12.78842654768,-25.9746195918256,20,NA,NA,NA,NA,NA,NA
"CCRN4L",11.3531752223529,-27.0812404150597,17,NA,NA,NA,NA,NA,NA
"CCT7",-3.37486565773878,-25.8311441928999,8,NA,NA,NA,NA,NA,NA
"CD-1530",5.61640097394263,-1.06236322123436,14,"CD-1530","Preclinical","retinoid receptor agonist","RARG","",""
"CD-437",6.86492874052487,-1.88671793145562,19,"CD-437","Preclinical","retinoid receptor agonist","RARG","",""
"CD14",12.8511345361733,18.4827922952776,7,NA,NA,NA,NA,NA,NA
"CD19",8.99220891394781,-26.9801349130941,17,NA,NA,NA,NA,NA,NA
"CD2BP2",6.49052648010196,-24.7611402909614,16,NA,NA,NA,NA,NA,NA
"CD320",5.87527984638409,-13.2880861038525,26,NA,NA,NA,NA,NA,NA
"CD40",9.70529951697328,-25.2047141442292,17,NA,NA,NA,NA,NA,NA
"CD44",-19.0509753892294,-19.0488785608774,27,NA,NA,NA,NA,NA,NA
"CD55",-11.9912582750343,-22.6777598204055,20,NA,NA,NA,NA,NA,NA
"CD59",17.2831730659961,-14.2229478397966,9,NA,NA,NA,NA,NA,NA
"CD81",9.14889922991299,-25.1584662074427,17,NA,NA,NA,NA,NA,NA
"CD83",-3.23022530793087,-17.4670911368734,10,NA,NA,NA,NA,NA,NA
"CD97",-3.90654924401167,-23.2484888408188,10,NA,NA,NA,NA,NA,NA
"CDC",13.5656123334585,18.1100606597946,7,NA,NA,NA,NA,NA,NA
"CDC20",-18.0029572116833,-11.5219638944587,27,NA,NA,NA,NA,NA,NA
"CDC25A",10.9664499919398,-14.22305770422,26,NA,NA,NA,NA,NA,NA
"CDC25B",-11.240288174569,-14.0115103238959,28,NA,NA,NA,NA,NA,NA
"CDC25C",-2.99684264451122,-18.1025051172459,10,NA,NA,NA,NA,NA,NA
"CDC42SE1",-6.31737947474637,-19.5462503462756,10,NA,NA,NA,NA,NA,NA
"CDC45",-14.9061546102392,-21.9992261212838,20,NA,NA,NA,NA,NA,NA
"CDC7",-6.25808538743346,-24.6066982643411,10,NA,NA,NA,NA,NA,NA
"CDCA4",7.98289195544413,-27.5204277067245,17,NA,NA,NA,NA,NA,NA
"CDCA8",-21.1334172869239,-12.5118226404719,27,NA,NA,NA,NA,NA,NA
"CDIPT",-12.3923788653294,-25.7434259525073,20,NA,NA,NA,NA,NA,NA
"CDK1",-5.14711786753752,-29.4222077857316,8,NA,NA,NA,NA,NA,NA
"CDK1-5-inhibitor",15.7602905937521,1.46165743414845,13,"CDK1-5-inhibitor","Preclinical","CDK inhibitor|glycogen synthase kinase inhibitor","CDK1|CDK5|GSK3B","",""
"CDK10",17.1967168481489,-12.0932237224848,9,NA,NA,NA,NA,NA,NA
"CDK16",-1.8928774784455,-20.629794912242,10,NA,NA,NA,NA,NA,NA
"CDK2",-8.45381357855905,-14.614836212389,28,NA,NA,NA,NA,NA,NA
"CDK2-5-inhibitor",20.7329947008016,17.4873030194946,4,NA,NA,NA,NA,NA,NA
"CDK4",11.3616002386725,-25.0476233245322,17,NA,NA,NA,NA,NA,NA
"CDK5",-5.44311260101324,-30.6897962771821,8,NA,NA,NA,NA,NA,NA
"CDK6",-1.30473198086065,-30.0668241959304,8,NA,NA,NA,NA,NA,NA
"CDK7",-14.2340626545237,-18.6446788617722,20,NA,NA,NA,NA,NA,NA
"CDK8",15.3950334062915,-15.150925216264,9,NA,NA,NA,NA,NA,NA
"CDK9",-14.0626987859323,-11.5124415028289,27,NA,NA,NA,NA,NA,NA
"CDKAL1",-7.46283525546664,-15.5996337779926,28,NA,NA,NA,NA,NA,NA
"CDKN1A",11.6739380381701,-14.0973913829638,26,NA,NA,NA,NA,NA,NA
"CDKN2C",14.860926247671,-23.0555535133785,17,NA,NA,NA,NA,NA,NA
"CDO1",-11.3663415462003,-25.1927721830728,20,NA,NA,NA,NA,NA,NA
"CDX2",18.9010907556356,-18.2113346504734,9,NA,NA,NA,NA,NA,NA
"cediranib",7.92654868443018,5.05452363303259,14,"cediranib","Phase 3","KIT inhibitor|VEGFR inhibitor","CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB","",""
"cefixime",19.0904419132066,18.7467328272508,4,"cefixime","Launched","bacterial cell wall synthesis inhibitor","","infectious disease|otolaryngology|pulmonary","urinary tract infections|otitis|pharyngitis|tonsillitis|gonorrhea|bronchitis"
"ceforanide",22.8188309566876,16.6256851476767,4,"ceforanide","Launched","penicillin binding protein inhibitor","","infectious disease","gram-negative bacterial infections"
"cefotiam",6.00780634894687,30.1074164342421,12,"cefotiam","Launched","bacterial cell wall synthesis inhibitor","","infectious disease","bacterial septicemia|bone and joint infections|respiratory tract infections|skin infections|urinary tract infections"
"celastrol",5.370268995615,-3.88289735729033,19,NA,NA,NA,NA,NA,NA
"celecoxib",17.8398493737127,17.8123174721482,7,"celecoxib","Launched","cyclooxygenase inhibitor","CA12|PDPK1|PTGS2","rheumatology|endocrinology","osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD)"
"CEP55",-13.9602925731679,-22.3895285789736,20,NA,NA,NA,NA,NA,NA
"CEP72",-6.21048382444693,-23.2869003464523,10,NA,NA,NA,NA,NA,NA
"cephaeline",5.54703236309865,-7.71163038993292,19,NA,NA,NA,NA,NA,NA
"CEPT1",7.79096269929776,-25.647730283909,17,NA,NA,NA,NA,NA,NA
"ceramide",15.1809368978278,19.5713229832059,4,"ceramide","Launched","phosphoenolpyruvate carboxylase activator|serine/threonine protein phosphatase activator","","dermatology","cosmetic"
"cercosporin",5.05399850486699,-3.36352673599208,19,NA,NA,NA,NA,NA,NA
"CERS2",-1.71695394878467,-22.077662483427,10,NA,NA,NA,NA,NA,NA
"CERS3",-2.47815285117119,-21.6068975891581,10,NA,NA,NA,NA,NA,NA
"CERS4",-22.4005882248104,-9.94594518165831,22,NA,NA,NA,NA,NA,NA
"cerulenin",4.59578780937401,-2.83584914616114,19,"cerulenin","Launched","fatty acid synthase inhibitor","FASN","infectious disease","fungal infection"
"cetirizine",18.9361590441007,15.0269080694959,7,"cetirizine","Launched","histamine receptor antagonist","HRH1","allergy","allergic rhinitis"
"CETN3",-19.9112677520632,-19.4964823017007,27,NA,NA,NA,NA,NA,NA
"CFB",-4.97252374752654,-20.4458158347817,10,NA,NA,NA,NA,NA,NA
"CFL1",16.1417780928172,-11.9831376721932,6,NA,NA,NA,NA,NA,NA
"CFLAR",0.121242903957015,-26.5080057866283,16,NA,NA,NA,NA,NA,NA
"CFM-1571",7.71004331662038,12.3036073812163,29,"CFM-1571","Preclinical","guanylate cyclase activator","","",""
"CG-930",2.89427959881225,25.0619414055624,1,NA,NA,NA,NA,NA,NA
"CGK-733",4.701852220187,-0.688319272085556,14,"CGK-733","Preclinical","ATM kinase inhibitor|ATR kinase inhibitor","ATM|ATR","",""
"CGP-12177",-11.8872799744449,10.8055129444241,2,"CGP-12177","Phase 1","adrenergic receptor agonist","ADRB1|ADRB2|ADRB3","",""
"CGP-13501",-14.3920294754449,2.55164751242692,15,"CGP-13501","Preclinical","GABA receptor modulator","GABBR1","",""
"CGP-20712",6.25931212365103,19.0717808584097,24,NA,NA,NA,NA,NA,NA
"CGP-37157",21.9363496079165,12.3017223391745,7,"CGP-37157","Preclinical","mitochondrial Na+/Ca2+ exchanger antagonist|sodium/calcium exchange inhibitor","SLC8A1","",""
"CGP-52432",-1.66438225581335,24.6408448917633,1,NA,NA,NA,NA,NA,NA
"CGP-53353",0.70626459695966,-0.483022371173764,19,"CGP-53353","Preclinical","EGFR inhibitor|PKC inhibitor","EGFR|PRKCB","",""
"CGP-54626",22.2840520376531,20.8115384505079,4,"CGP-54626","Preclinical","GABA receptor antagonist","GABBR1|GABBR2|KCTD12|KCTD16|KCTD8","",""
"CGP-55845",6.86076897943587,33.8348522439506,12,"CGP-55845","Preclinical","GABA receptor antagonist","GABBR1|GABBR2|KCTD12|KCTD16|KCTD8","",""
"CGP-57380",4.71804399861303,14.3591500753328,24,"CGP-57380","Preclinical","MAP kinase inhibitor","AURKB|LCK|MKNK1|MKNK2|SGK1","",""
"CGP-60474",17.2285533370889,8.01306172288204,5,"CGP-60474","Preclinical","CDK inhibitor","CDK1|CDK2","",""
"CGP-71683",5.13441070388463,0.787736254272884,14,"CGP-71683","Preclinical","neuropeptide receptor antagonist","NPY5R","",""
"CGP-7930",-18.5961460962138,6.90758623859116,15,"CGP-7930","Preclinical","GABA receptor modulator","GABBR1","",""
"CGRRF1",-14.0223781081981,-21.969741982263,20,NA,NA,NA,NA,NA,NA
"CGS-12066B",14.3785549435299,16.2696581175034,7,NA,NA,NA,NA,NA,NA
"CGS-15943",2.98710723412291,-2.4100498085168,19,"CGS-15943","Preclinical","adenosine receptor antagonist","ADORA1|ADORA2A|ADORA2B|ADORA3","",""
"CGS-20625",19.9542728056278,15.0916068836531,7,"CGS-20625","Phase 1","benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist","GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6","",""
"CGS-21680",-11.3781336807526,9.69290262657672,2,"CGS-21680","Preclinical","adenosine receptor agonist","ADORA1|ADORA2A|ADORA2B|ADORA3","",""
"chaetocin",13.2999389249325,0.306098152328886,13,NA,NA,NA,NA,NA,NA
"CHAF1B",-12.0727260357756,-22.048183235919,20,NA,NA,NA,NA,NA,NA
"CHCHD7",-15.7392365227137,-21.4196865025232,20,NA,NA,NA,NA,NA,NA
"CHEK2",19.7191865124135,-14.822564914387,9,NA,NA,NA,NA,NA,NA
"chelidonine",11.3848435857986,-5.54300887247928,13,NA,NA,NA,NA,NA,NA
"CHEMBL-1222381",-1.65197866234271,8.03488637631209,11,NA,NA,NA,NA,NA,NA
"CHEMBL-374350",2.21026728898666,3.47465529097014,11,NA,NA,NA,NA,NA,NA
"CHEMBL-399379",6.17529513785596,-0.73753887744247,14,NA,NA,NA,NA,NA,NA
"chenodeoxycholic-acid",-17.4591376470033,7.25754931727567,15,"chenodeoxycholic-acid","Launched","11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist","HSD11B1|NR1H4","cardiology|gastroenterology","cerebral cholesterosis|gallstones"
"CHGA",-27.5682891737426,12.9625585171436,21,NA,NA,NA,NA,NA,NA
"CHIR-99021",-1.50679844144729,-10.041183389069,18,"CHIR-99021","Preclinical","glycogen synthase kinase inhibitor","CDK1|GSK3A|GSK3B|MAPK1","",""
